;date;RM;measurand;based.on;unit;mean.before;mean.after;median.before;median.after;median.after.noPP;sL;sbb;sr;u;u.alternative;t.value;outlier;labs.remaining;property.value;U
25;29.07.2014;MUH;LOI;median;g/100g;9.384;9.384;9.335;9.335;9.335;0.0382;0.00243;0.001064;0.0422;0.0423;2.08;21.66666667;22;9.335;0.088
26;29.07.2014;MUH;Lu;median;mg/kg;0.01909;0.01914;0.019;0.019;0.019;2.70E-06;5.49E-07;1.61E-07;0.000425;0.000428;2.13;21.66666667;16;0.019;0.000913
27;29.07.2014;MUH;MgO;median;g/100g;38.19;38.25;38.24;38.28;38.31;0.137;0.00976;0.004103;0.0781;0.0784;2.07;21.66666667;23;38.28;0.163
28;29.07.2014;MUH;MnO;median;g/100g;0.1195;0.1179;0.1183;0.1176;0.1175;8.74E-06;1.29E-06;4.22E-07;0.000662;0.000666;2.09;21.66666667;21;0.1176;0.00139
29;29.07.2014;MUH;Na2O;median;g/100g;0.09948;0.1037;0.1;0.1;0.1;0.000383;1.95E-05;9.21E-06;0.00466;0.00467;2.11;21.66666667;18;0.1;0.00986
30;29.07.2014;MUH;Nb;median;mg/kg;0.1705;0.06169;0.06053;0.05852;0.05852;0.000459;0.000667;0.0001111;0.00929;0.00948;2.36;21.66666667;8;0.05852;0.0224
31;29.07.2014;MUH;Nd;median;mg/kg;0.1912;0.1769;0.1781;0.1745;0.1745;0.000123;0.000104;1.98E-05;0.00326;0.00334;2.14;21.66666667;15;0.1745;0.00717
32;29.07.2014;MUH;Ni;median;mg/kg;2069;2104;2100;2102;2116;2990;796;213.8;12.5;12.6;2.09;21.66666667;21;2102;26.2
33;29.07.2014;MUH;P2O5;median;g/100g;0.01045;0.007502;0.0095;0.008142;0.008142;1.31E-05;2.79E-07;1.77E-07;0.00101;0.00101;2.18;21.66666667;13;0.008142;0.0022
34;29.07.2014;MUH;Pb;median;mg/kg;0.4217;0.4217;0.4356;0.4356;0.4356;0.00534;0.00177;0.0004426;0.0273;0.0276;2.36;21.66666667;8;0.4356;0.0652
35;29.07.2014;MUH;Pr;median;g/100g;0.03809;0.03513;0.03525;0.03467;0.03467;7.77E-06;4.34E-06;9.29E-07;0.000845;0.000856;2.18;21.66666667;13;0.03467;0.00186
36;29.07.2014;MUH;Rb;median;mg/kg;0.3813;0.2717;0.2735;0.268;0.268;0.00233;0.00042;0.0001289;0.0133;0.0135;2.16;21.66666667;14;0.268;0.0291
37;29.07.2014;MUH;Sb;median;mg/kg;0.1338;0.1338;0.1353;0.1353;0.1353;0.000221;4.15E-05;1.24E-05;0.00687;0.00691;2.78;21.66666667;5;0.1353;0.0192
38;29.07.2014;MUH;Sc;median;mg/kg;9.216;9.037;9.212;9.209;9.212;0.56;0.0406;0.01696;0.174;0.175;2.1;21.66666667;19;9.209;0.367
39;29.07.2014;MUH;SiO2;median;g/100g;40.38;40.38;40.35;40.35;40.3;0.143;0.0089;0.003926;0.0816;0.0819;2.08;21.66666667;22;40.35;0.17
40;29.07.2014;MUH;Sm;median;mg/kg;0.06963;0.06773;0.06745;0.06745;0.06745;1.40E-05;7.19E-06;1.58E-06;0.000986;0.001;2.12;21.66666667;17;0.06745;0.00213
41;29.07.2014;MUH;Sn;median;mg/kg;0.1264;0.1264;0.06001;0.06001;0.06001;1.64E-11;0.062;4.13E-07;0.0719;0.0719;3.18;21.66666667;4;0.06001;0.229
42;29.07.2014;MUH;Sr;median;mg/kg;8.723;8.723;8.529;8.529;8.598;0.436;0.114;0.03094;0.141;0.143;2.07;21.66666667;24;8.529;0.295
