"","date","RM","measurand","based.on","unit","mean.before","mean.after","median.before","median.after","median.after.noPP","sL","sbb","sr","u","u.alternative","t.value","outlier","labs.remaining","property.value","U"
"20","2014-08-03","MUH","Hf","median","mg/kg",0.06129,0.04357,0.03768,0.03745,0.03745,0.00042,3.23e-05,1.327e-05,0.00577,0.00579,2.18,21.6666666666667,13,0.03745,0.0126
"21","2014-08-03","MUH","Ho","median","mg/kg",0.03608,0.03573,0.03519,0.03519,0.03519,6.08e-06,8.79e-07,2.888e-07,0.000701,0.000705,2.18,21.6666666666667,13,0.03519,0.00154
"22","2014-08-03","MUH","K2O","median","g/100g",0.01352,0.01188,0.01093,0.01093,0.0117,2.17e-05,4.38e-06,1.287e-06,0.00129,0.0013,2.16,21.6666666666667,14,0.01093,0.0028
"23","2014-08-03","MUH","La","median","g/100g",0.1359,0.1392,0.1335,0.1344,0.1344,5.42e-05,0.000191,2.584e-05,0.00283,0.0029,2.14,21.6666666666667,15,0.1344,0.00622
"24","2014-08-03","MUH","Li","median","mg/kg",1.895,1.784,1.721,1.678,1.678,0.248,0.00921,0.00481,0.19,0.19,2.45,21.6666666666667,7,1.678,0.465
"25","2014-08-03","MUH","LOI","median","g/100g",9.384,9.384,9.335,9.335,9.335,0.0382,0.00243,0.001064,0.0422,0.0423,2.08,21.6666666666667,22,9.335,0.088
"26","2014-08-03","MUH","Lu","median","mg/kg",0.01909,0.01914,0.019,0.019,0.019,2.7e-06,5.49e-07,1.611e-07,0.000425,0.000428,2.13,21.6666666666667,16,0.019,0.000913
"27","2014-08-03","MUH","MgO","median","g/100g",38.19,38.25,38.24,38.28,38.31,0.137,0.00976,0.004103,0.0781,0.0784,2.07,21.6666666666667,23,38.28,0.163
"28","2014-08-03","MUH","MnO","median","g/100g",0.1195,0.1179,0.1183,0.1176,0.1175,8.74e-06,1.29e-06,4.222e-07,0.000662,0.000666,2.09,21.6666666666667,21,0.1176,0.00139
"29","2014-08-03","MUH","Na2O","median","g/100g",0.09948,0.1037,0.1,0.1,0.1,0.000383,1.95e-05,9.212e-06,0.00466,0.00467,2.11,21.6666666666667,18,0.1,0.00986
"30","2014-08-03","MUH","Nb","median","mg/kg",0.1705,0.06169,0.06053,0.05852,0.05852,0.000459,0.000667,0.0001111,0.00929,0.00948,2.36,21.6666666666667,8,0.05852,0.0224
"31","2014-08-03","MUH","Nd","median","mg/kg",0.1912,0.1769,0.1781,0.1745,0.1745,0.000123,0.000104,1.979e-05,0.00326,0.00334,2.14,21.6666666666667,15,0.1745,0.00717
"32","2014-08-03","MUH","Ni","median","mg/kg",2069,2104,2100,2102,2116,2990,796,213.8,12.5,12.6,2.09,21.6666666666667,21,2102,26.2
"33","2014-08-03","MUH","P2O5","median","g/100g",0.01045,0.007502,0.0095,0.008142,0.008142,1.31e-05,2.79e-07,1.771e-07,0.00101,0.00101,2.18,21.6666666666667,13,0.008142,0.0022
"34","2014-08-03","MUH","Pb","median","mg/kg",0.4217,0.4217,0.4356,0.4356,0.4356,0.00534,0.00177,0.0004426,0.0273,0.0276,2.36,21.6666666666667,8,0.4356,0.0652
"35","2014-08-03","MUH","Pr","median","g/100g",0.03809,0.03513,0.03525,0.03467,0.03467,7.77e-06,4.34e-06,9.294e-07,0.000845,0.000856,2.18,21.6666666666667,13,0.03467,0.00186
"36","2014-08-03","MUH","Rb","median","mg/kg",0.3813,0.2717,0.2735,0.268,0.268,0.00233,0.00042,0.0001289,0.0133,0.0135,2.16,21.6666666666667,14,0.268,0.0291
"37","2014-08-03","MUH","Sb","median","mg/kg",0.1338,0.1338,0.1353,0.1353,0.1353,0.000221,4.15e-05,1.239e-05,0.00687,0.00691,2.78,21.6666666666667,5,0.1353,0.0192
"38","2014-08-03","MUH","Sc","median","mg/kg",9.216,9.037,9.212,9.209,9.212,0.56,0.0406,0.01696,0.174,0.175,2.1,21.6666666666667,19,9.209,0.367
"39","2014-08-03","MUH","SiO2","median","g/100g",40.38,40.38,40.35,40.35,40.3,0.143,0.0089,0.003926,0.0816,0.0819,2.08,21.6666666666667,22,40.35,0.17
"40","2014-08-03","MUH","Sm","median","mg/kg",0.06963,0.06773,0.06745,0.06745,0.06745,1.4e-05,7.19e-06,1.58e-06,0.000986,0.001,2.12,21.6666666666667,17,0.06745,0.00213
"41","2014-08-03","MUH","Sn","median","mg/kg",0.1264,0.1264,0.06001,0.06001,0.06001,1.64e-11,0.062,4.133e-07,0.0719,0.0719,3.18,21.6666666666667,4,0.06001,0.229
"42","2014-08-03","MUH","Sr","median","mg/kg",8.723,8.723,8.529,8.529,8.598,0.436,0.114,0.03094,0.141,0.143,2.07,21.6666666666667,24,8.529,0.295
"43","2014-08-03","MUH","Ta","median","mg/kg",0.01707,0.009275,0.007646,0.005943,0.005943,1.46e-05,0.000111,1.196e-05,0.00242,0.00257,2.31,21.6666666666667,9,0.005943,0.00594
"44","2014-08-03","MUH","Tb","median","mg/kg",0.02117,0.02118,0.0212,0.0212,0.0212,1.26e-06,1.07e-06,2.047e-07,0.00033,0.000337,2.14,21.6666666666667,15,0.0212,0.000722
"45","2014-08-03","MUH","Th","median","mg/kg",0.0208,0.01775,0.01606,0.016,0.016,3.53e-05,7.09e-06,2.085e-06,0.00186,0.00187,2.23,21.6666666666667,11,0.016,0.00416
"46","2014-08-03","MUH","TiO2","median","g/100g",0.03599,0.03436,0.03472,0.0346,0.03452,1.87e-05,1.52e-06,6.114e-07,0.000895,0.000899,2.07,21.6666666666667,24,0.0346,0.00186
"47","2014-08-03","MUH","Tl","median","mg/kg",0.003478,0.003478,0.003436,0.003436,0.003436,2.91e-16,5.23e-08,1.903e-12,9.34e-05,9.34e-05,12.71,21.6666666666667,2,0.003436,0.00119
"48","2014-08-03","MUH","Tm","median","mg/kg",0.01727,0.01701,0.017,0.01698,0.01698,1.55e-06,1.46e-07,5.556e-08,0.000338,0.00034,2.16,21.6666666666667,14,0.01698,0.000734
"49","2014-08-03","MUH","U","median","mg/kg",0.01942,0.01564,0.0153,0.01392,0.01392,1.3e-05,6.03e-07,2.933e-07,0.00105,0.00105,2.2,21.6666666666667,12,0.01392,0.00232
"50","2014-08-03","MUH","V","median","mg/kg",37.55,39.26,40.3,40.99,40.64,20.6,2.02,0.7591,1.06,1.06,2.1,21.6666666666667,19,40.99,2.24
"51","2014-08-03","MUH","Y","median","mg/kg",0.9949,0.9376,0.9694,0.966,0.9438,0.00804,0.00023,0.0001324,0.0219,0.0219,2.12,21.6666666666667,17,0.966,0.0465
"52","2014-08-03","MUH","Yb","median","mg/kg",0.1194,0.1179,0.1175,0.1164,0.1164,2.24e-05,2.03e-05,3.813e-06,0.00128,0.0013,2.11,21.6666666666667,18,0.1164,0.00275
"53","2014-08-03","MUH","Zn","median","mg/kg",44.54,44.54,44.21,44.21,45.67,16.2,0.89,0.4099,0.849,0.851,2.07,21.6666666666667,23,44.21,1.77
"54","2014-08-03","MUH","Zr","median","mg/kg",2.948,0.7731,1.154,0.579,0.579,0.116,0.077,0.01568,0.126,0.128,2.31,21.6666666666667,9,0.579,0.294
