"date" "RM" "measurand" "mean.before" "mean.after" "median.before" "median.after" "median.after.noPP" "unit" "sL" "sbb" "sr" "u" "u.alternative" "t.value" "outlier" "labs remaining" "based on" "property value" "U"
2014-07-24 "OKUM" "Co" 88.53 88.9 88.89 89.4 89.4 "mg/kg" 6.42 1.22 0.3667 0.546 0.55 2.07 31 23 "median" 89.4 1.14
2014-07-24 "OKUM" "Cr" 2441 2460 2447 2456 2470 "mg/kg" 4740 323 138 14.9 14.9 2.08 10 22 "median" 2456 31
2014-07-24 "OKUM" "Cr" 2441 2460 2447 2456 2470 "mg/kg" 4740 323 138 14.9 14.9 2.08 26 22 "median" 2456 31
2014-07-24 "OKUM" "Cr" 2441 2460 2447 2456 2470 "mg/kg" 4740 323 138 14.9 14.9 2.08 31 22 "median" 2456 31
2014-07-24 "OKUM" "Cs" 0.1822 0.1842 0.1828 0.1831 0.1831 "mg/kg" 2.52e-05 1.86e-05 3.693e-06 0.00156 0.00159 2.18 10 13 "median" 0.1831 0.00345
2014-07-24 "OKUM" "Cs" 0.1822 0.1842 0.1828 0.1831 0.1831 "mg/kg" 2.52e-05 1.86e-05 3.693e-06 0.00156 0.00159 2.18 26 13 "median" 0.1831 0.00345
2014-07-24 "OKUM" "Cs" 0.1822 0.1842 0.1828 0.1831 0.1831 "mg/kg" 2.52e-05 1.86e-05 3.693e-06 0.00156 0.00159 2.18 31 13 "median" 0.1831 0.00345
2014-07-24 "OKUM" "Cu" 43.9 43.46 43.5 43.34 43.75 "mg/kg" 6.61 0.279 0.1406 0.579 0.581 2.09 10 20 "median" 43.34 1.22
2014-07-24 "OKUM" "Cu" 43.9 43.46 43.5 43.34 43.75 "mg/kg" 6.61 0.279 0.1406 0.579 0.581 2.09 26 20 "median" 43.34 1.22
2014-07-24 "OKUM" "Cu" 43.9 43.46 43.5 43.34 43.75 "mg/kg" 6.61 0.279 0.1406 0.579 0.581 2.09 31 20 "median" 43.34 1.22
2014-07-24 "OKUM" "Dy" 1.594 1.609 1.605 1.605 1.605 "mg/kg" 0.00579 0.000111 7.306e-05 0.0185 0.0186 2.12 10 17 "median" 1.605 0.0393
2014-07-24 "OKUM" "Dy" 1.594 1.609 1.605 1.605 1.605 "mg/kg" 0.00579 0.000111 7.306e-05 0.0185 0.0186 2.12 26 17 "median" 1.605 0.0393
2014-07-24 "OKUM" "Dy" 1.594 1.609 1.605 1.605 1.605 "mg/kg" 0.00579 0.000111 7.306e-05 0.0185 0.0186 2.12 31 17 "median" 1.605 0.0393
2014-07-24 "OKUM" "Er" 1.023 1.041 1.039 1.043 1.043 "mg/kg" 0.000756 0.000162 4.673e-05 0.00672 0.00677 2.11 10 18 "median" 1.043 0.0143
2014-07-24 "OKUM" "Er" 1.023 1.041 1.039 1.043 1.043 "mg/kg" 0.000756 0.000162 4.673e-05 0.00672 0.00677 2.11 26 18 "median" 1.043 0.0143
2014-07-24 "OKUM" "Er" 1.023 1.041 1.039 1.043 1.043 "mg/kg" 0.000756 0.000162 4.673e-05 0.00672 0.00677 2.11 31 18 "median" 1.043 0.0143
2014-07-24 "OKUM" "Eu" 0.3002 0.3002 0.3019 0.3019 0.3019 "mg/kg" 0.000178 5.47e-05 1.405e-05 0.00323 0.00326 2.1 10 19 "median" 0.3019 0.00684
2014-07-24 "OKUM" "Eu" 0.3002 0.3002 0.3019 0.3019 0.3019 "mg/kg" 0.000178 5.47e-05 1.405e-05 0.00323 0.00326 2.1 26 19 "median" 0.3019 0.00684
2014-07-24 "OKUM" "Eu" 0.3002 0.3002 0.3019 0.3019 0.3019 "mg/kg" 0.000178 5.47e-05 1.405e-05 0.00323 0.00326 2.1 31 19 "median" 0.3019 0.00684
2014-07-24 "OKUM" "Ga" 8.847 8.794 8.883 8.865 8.818 "mg/kg" 0.0909 0.0262 0.006861 0.0768 0.0774 2.12 10 17 "median" 8.865 0.164
2014-07-24 "OKUM" "Ga" 8.847 8.794 8.883 8.865 8.818 "mg/kg" 0.0909 0.0262 0.006861 0.0768 0.0774 2.12 26 17 "median" 8.865 0.164
2014-07-24 "OKUM" "Ga" 8.847 8.794 8.883 8.865 8.818 "mg/kg" 0.0909 0.0262 0.006861 0.0768 0.0774 2.12 31 17 "median" 8.865 0.164
2014-07-24 "OKUM" "Gd" 1.13 1.138 1.172 1.172 1.172 "mg/kg" 0.00616 0.000413 0.0001773 0.0199 0.0199 2.13 10 16 "median" 1.172 0.0425
2014-07-24 "OKUM" "Gd" 1.13 1.138 1.172 1.172 1.172 "mg/kg" 0.00616 0.000413 0.0001773 0.0199 0.0199 2.13 26 16 "median" 1.172 0.0425
2014-07-24 "OKUM" "Gd" 1.13 1.138 1.172 1.172 1.172 "mg/kg" 0.00616 0.000413 0.0001773 0.0199 0.0199 2.13 31 16 "median" 1.172 0.0425
2014-07-24 "OKUM" "Hf" 0.5738 0.5507 0.5595 0.5565 0.5565 "mg/kg" 0.00156 0.000314 9.234e-05 0.0106 0.0106 2.14 10 15 "median" 0.5565 0.0228
2014-07-24 "OKUM" "Hf" 0.5738 0.5507 0.5595 0.5565 0.5565 "mg/kg" 0.00156 0.000314 9.234e-05 0.0106 0.0106 2.14 26 15 "median" 0.5565 0.0228
2014-07-24 "OKUM" "Hf" 0.5738 0.5507 0.5595 0.5565 0.5565 "mg/kg" 0.00156 0.000314 9.234e-05 0.0106 0.0106 2.14 31 15 "median" 0.5565 0.0228
2014-07-24 "OKUM" "Ho" 0.3547 0.3547 0.3529 0.3529 0.3529 "mg/kg" 0.000227 1.33e-05 5.979e-06 0.00393 0.00395 2.14 10 15 "median" 0.3529 0.00847
2014-07-24 "OKUM" "Ho" 0.3547 0.3547 0.3529 0.3529 0.3529 "mg/kg" 0.000227 1.33e-05 5.979e-06 0.00393 0.00395 2.14 26 15 "median" 0.3529 0.00847
2014-07-24 "OKUM" "Ho" 0.3547 0.3547 0.3529 0.3529 0.3529 "mg/kg" 0.000227 1.33e-05 5.979e-06 0.00393 0.00395 2.14 31 15 "median" 0.3529 0.00847
2014-07-24 "OKUM" "La" 0.4123 0.4123 0.4086 0.4086 0.4086 "g/100g" 0.00107 0.000224 6.496e-05 0.00798 0.00804 2.11 10 18 "median" 0.4086 0.017
2014-07-24 "OKUM" "La" 0.4123 0.4123 0.4086 0.4086 0.4086 "g/100g" 0.00107 0.000224 6.496e-05 0.00798 0.00804 2.11 26 18 "median" 0.4086 0.017
2014-07-24 "OKUM" "La" 0.4123 0.4123 0.4086 0.4086 0.4086 "g/100g" 0.00107 0.000224 6.496e-05 0.00798 0.00804 2.11 31 18 "median" 0.4086 0.017
2014-07-24 "OKUM" "Li" 4.412 4.412 4.352 4.352 4.352 "mg/kg" 0.0894 0.0155 0.004768 0.109 0.11 2.36 10 8 "median" 4.352 0.259
2014-07-24 "OKUM" "Li" 4.412 4.412 4.352 4.352 4.352 "mg/kg" 0.0894 0.0155 0.004768 0.109 0.11 2.36 26 8 "median" 4.352 0.259
2014-07-24 "OKUM" "Li" 4.412 4.412 4.352 4.352 4.352 "mg/kg" 0.0894 0.0155 0.004768 0.109 0.11 2.36 31 8 "median" 4.352 0.259
2014-07-24 "OKUM" "Lu" 0.1482 0.1482 0.1488 0.1488 0.1488 "mg/kg" 9.27e-05 7.78e-06 3.089e-06 0.00224 0.00225 2.1 10 19 "median" 0.1488 0.00473
2014-07-24 "OKUM" "Lu" 0.1482 0.1482 0.1488 0.1488 0.1488 "mg/kg" 9.27e-05 7.78e-06 3.089e-06 0.00224 0.00225 2.1 26 19 "median" 0.1488 0.00473
2014-07-24 "OKUM" "Lu" 0.1482 0.1482 0.1488 0.1488 0.1488 "mg/kg" 9.27e-05 7.78e-06 3.089e-06 0.00224 0.00225 2.1 31 19 "median" 0.1488 0.00473
2014-07-24 "OKUM" "Nb" 0.4568 0.3651 0.3552 0.3525 0.3525 "mg/kg" 0.0074 0.000607 0.0002422 0.0263 0.0264 2.23 10 11 "median" 0.3525 0.0589
2014-07-24 "OKUM" "Nb" 0.4568 0.3651 0.3552 0.3525 0.3525 "mg/kg" 0.0074 0.000607 0.0002422 0.0263 0.0264 2.23 26 11 "median" 0.3525 0.0589
2014-07-24 "OKUM" "Nb" 0.4568 0.3651 0.3552 0.3525 0.3525 "mg/kg" 0.0074 0.000607 0.0002422 0.0263 0.0264 2.23 31 11 "median" 0.3525 0.0589
2014-07-24 "OKUM" "Nd" 1.478 1.494 1.498 1.499 1.499 "mg/kg" 0.00127 0.000419 0.000105 0.00942 0.00957 2.13 10 16 "median" 1.499 0.0204
2014-07-24 "OKUM" "Nd" 1.478 1.494 1.498 1.499 1.499 "mg/kg" 0.00127 0.000419 0.000105 0.00942 0.00957 2.13 26 16 "median" 1.499 0.0204
2014-07-24 "OKUM" "Nd" 1.478 1.494 1.498 1.499 1.499 "mg/kg" 0.00127 0.000419 0.000105 0.00942 0.00957 2.13 31 16 "median" 1.499 0.0204
2014-07-24 "OKUM" "Ni" 876.6 886.1 879.1 880.5 880.2 "mg/kg" 492 41.7 16.51 4.91 4.93 2.09 10 21 "median" 880.5 10.3
2014-07-24 "OKUM" "Ni" 876.6 886.1 879.1 880.5 880.2 "mg/kg" 492 41.7 16.51 4.91 4.93 2.09 26 21 "median" 880.5 10.3
2014-07-24 "OKUM" "Ni" 876.6 886.1 879.1 880.5 880.2 "mg/kg" 492 41.7 16.51 4.91 4.93 2.09 31 21 "median" 880.5 10.3
2014-07-24 "OKUM" "Pb" 0.2602 0.2614 0.2626 0.2626 0.2626 "mg/kg" 5.59e-12 0.00154 3.955e-08 0.00857 0.00857 2.45 10 7 "median" 0.2626 0.021
2014-07-24 "OKUM" "Pb" 0.2602 0.2614 0.2626 0.2626 0.2626 "mg/kg" 5.59e-12 0.00154 3.955e-08 0.00857 0.00857 2.45 26 7 "median" 0.2626 0.021
2014-07-24 "OKUM" "Pb" 0.2602 0.2614 0.2626 0.2626 0.2626 "mg/kg" 5.59e-12 0.00154 3.955e-08 0.00857 0.00857 2.45 31 7 "median" 0.2626 0.021
2014-07-24 "OKUM" "Pr" 0.2353 0.2353 0.2416 0.2416 0.2416 "g/100g" 0.000231 2.66e-05 9.461e-06 0.00376 0.00378 2.12 10 17 "median" 0.2416 0.00801
2014-07-24 "OKUM" "Pr" 0.2353 0.2353 0.2416 0.2416 0.2416 "g/100g" 0.000231 2.66e-05 9.461e-06 0.00376 0.00378 2.12 26 17 "median" 0.2416 0.00801
2014-07-24 "OKUM" "Pr" 0.2353 0.2353 0.2416 0.2416 0.2416 "g/100g" 0.000231 2.66e-05 9.461e-06 0.00376 0.00378 2.12 31 17 "median" 0.2416 0.00801
2014-07-24 "OKUM" "Rb" 1.109 0.964 0.9495 0.94 0.94 "mg/kg" 0.00847 0.00244 0.0006391 0.0258 0.026 2.16 10 14 "median" 0.94 0.0563
2014-07-24 "OKUM" "Rb" 1.109 0.964 0.9495 0.94 0.94 "mg/kg" 0.00847 0.00244 0.0006391 0.0258 0.026 2.16 26 14 "median" 0.94 0.0563
2014-07-24 "OKUM" "Rb" 1.109 0.964 0.9495 0.94 0.94 "mg/kg" 0.00847 0.00244 0.0006391 0.0258 0.026 2.16 31 14 "median" 0.94 0.0563
2014-07-24 "OKUM" "Sb" 0.07939 0.07936 0.07795 0.07795 0.07795 "mg/kg" 7.46e-05 6.24e-05 1.193e-05 0.00439 0.00446 2.78 10 5 "median" 0.07795 0.0124
2014-07-24 "OKUM" "Sb" 0.07939 0.07936 0.07795 0.07795 0.07795 "mg/kg" 7.46e-05 6.24e-05 1.193e-05 0.00439 0.00446 2.78 26 5 "median" 0.07795 0.0124
2014-07-24 "OKUM" "Sb" 0.07939 0.07936 0.07795 0.07795 0.07795 "mg/kg" 7.46e-05 6.24e-05 1.193e-05 0.00439 0.00446 2.78 31 5 "median" 0.07795 0.0124
2014-07-24 "OKUM" "Sc" 27.51 27.93 28.25 28.5 28.25 "mg/kg" 3.55 0.327 0.1257 0.418 0.42 2.09 10 21 "median" 28.5 0.875
2014-07-24 "OKUM" "Sc" 27.51 27.93 28.25 28.5 28.25 "mg/kg" 3.55 0.327 0.1257 0.418 0.42 2.09 26 21 "median" 28.5 0.875
2014-07-24 "OKUM" "Sc" 27.51 27.93 28.25 28.5 28.25 "mg/kg" 3.55 0.327 0.1257 0.418 0.42 2.09 31 21 "median" 28.5 0.875
2014-07-24 "OKUM" "Sm" 0.7095 0.7149 0.7105 0.7138 0.7138 "mg/kg" 0.000479 8.68e-05 2.631e-05 0.00533 0.00538 2.11 10 18 "median" 0.7138 0.0113
2014-07-24 "OKUM" "Sm" 0.7095 0.7149 0.7105 0.7138 0.7138 "mg/kg" 0.000479 8.68e-05 2.631e-05 0.00533 0.00538 2.11 26 18 "median" 0.7138 0.0113
