"","date","RM","measurand","based.on","unit","mean.before","mean.after","median.before","median.after","median.after.noPP","sL","sbb","sbb.1","u","u.alternative","t.value","outlier","labs.remaining","property.value","U"
"44","2014-08-03","GAS","Tb","median","mg/kg",0.009056,0.008401,0.008607,0.00815,0.00815,8.04e-07,1.13e-07,1.131e-07,0.000266,0.000266,2.18,21.6666666666667,13,0.00815,0.000579
"45","2014-08-03","GAS","Th","median","mg/kg",0.03475,0.03102,0.03137,0.03117,0.03117,2.55e-05,3.58e-06,3.582e-06,0.00156,0.00156,2.2,21.6666666666667,12,0.03117,0.00342
"46","2014-08-03","GAS","TiO2","median","g/100g",0.0134,0.01129,0.01133,0.0105,0.0105,8.84e-06,1.24e-06,1.243e-06,0.00077,0.00077,2.12,21.6666666666667,17,0.0105,0.00163
"47","2014-08-03","GAS","Tl","median","mg/kg",0.003124,0.003124,0.00327,0.00327,0.00327,4.89e-08,6.88e-09,6.876e-09,0.000167,0.000167,12.71,21.6666666666667,2,0.00327,0.00212
"48","2014-08-03","GAS","Tm","median","mg/kg",0.007546,0.007357,0.007425,0.0074,0.0074,3.95e-07,5.55e-08,5.549e-08,0.000186,0.000186,2.18,21.6666666666667,13,0.0074,0.000405
"49","2014-08-03","GAS","U","median","mg/kg",0.9036,0.8304,0.8125,0.8112,0.8112,0.00222,0.000313,0.0003127,0.0126,0.0126,2.13,21.6666666666667,16,0.8112,0.0268
"50","2014-08-03","GAS","V","median","mg/kg",32.23,32.96,32.76,32.82,32.6,8.79,1.24,1.236,0.727,0.727,2.1,21.6666666666667,19,32.82,1.53
"51","2014-08-03","GAS","Y","median","mg/kg",0.4246,0.3766,0.3857,0.3857,0.3852,0.00359,0.000505,0.0005049,0.0155,0.0155,2.12,21.6666666666667,17,0.3857,0.0329
"52","2014-08-03","GAS","Yb","median","mg/kg",0.05756,0.05319,0.05278,0.05255,0.05255,4.07e-05,5.73e-06,5.727e-06,0.00165,0.00165,2.12,21.6666666666667,17,0.05255,0.0035
"53","2014-08-03","GAS","Zn","median","mg/kg",37.16,37.16,38.5,38.5,38.84,12.7,1.79,1.789,0.794,0.794,2.07,21.6666666666667,23,38.5,1.65
"54","2014-08-03","GAS","Zr","median","mg/kg",2.325,0.8449,1.253,0.6151,0.6151,0.255,0.0359,0.03593,0.171,0.171,2.26,21.6666666666667,10,0.6151,0.386
