"date" "RM" "measurand" "mean.before" "mean.after" "median.before" "median.after" "median.after.noPP" "unit" "sL" "sbb" "sbb" "u" "u.alternative" "t.value" "outlier" "labs remaining" "based on" "property value" "U"
2014-07-25 "GAS" "CaO" 0.6861 0.6802 0.68 0.678 0.6765 "g/100g" 0.000239 3.37e-05 3.366e-05 0.00361 0.00361 2.09 10 21 "median" 0.678 0.00752
2014-07-25 "GAS" "CaO" 0.6861 0.6802 0.68 0.678 0.6765 "g/100g" 0.000239 3.37e-05 3.366e-05 0.00361 0.00361 2.09 6 21 "median" 0.678 0.00752
2014-07-25 "GAS" "CaO" 0.6861 0.6802 0.68 0.678 0.6765 "g/100g" 0.000239 3.37e-05 3.366e-05 0.00361 0.00361 2.09 26 21 "median" 0.678 0.00752
2014-07-25 "GAS" "CaO" 0.6861 0.6802 0.68 0.678 0.6765 "g/100g" 0.000239 3.37e-05 3.366e-05 0.00361 0.00361 2.09 33 21 "median" 0.678 0.00752
2014-07-25 "GAS" "CaO" 0.6861 0.6802 0.68 0.678 0.6765 "g/100g" 0.000239 3.37e-05 3.366e-05 0.00361 0.00361 2.09 31 21 "median" 0.678 0.00752
2014-07-25 "GAS" "CaO" 0.6861 0.6802 0.68 0.678 0.6765 "g/100g" 0.000239 3.37e-05 3.366e-05 0.00361 0.00361 2.09 24 21 "median" 0.678 0.00752
2014-07-25 "GAS" "Na2O" 0.0282 0.02303 0.0218 0.0209 0.0209 "g/100g" 0.000185 2.6e-05 2.604e-05 0.0046 0.0046 2.26 10 10 "median" 0.0209 0.0104
2014-07-25 "GAS" "Na2O" 0.0282 0.02303 0.0218 0.0209 0.0209 "g/100g" 0.000185 2.6e-05 2.604e-05 0.0046 0.0046 2.26 6 10 "median" 0.0209 0.0104
2014-07-25 "GAS" "Na2O" 0.0282 0.02303 0.0218 0.0209 0.0209 "g/100g" 0.000185 2.6e-05 2.604e-05 0.0046 0.0046 2.26 26 10 "median" 0.0209 0.0104
2014-07-25 "GAS" "Na2O" 0.0282 0.02303 0.0218 0.0209 0.0209 "g/100g" 0.000185 2.6e-05 2.604e-05 0.0046 0.0046 2.26 33 10 "median" 0.0209 0.0104
2014-07-25 "GAS" "Na2O" 0.0282 0.02303 0.0218 0.0209 0.0209 "g/100g" 0.000185 2.6e-05 2.604e-05 0.0046 0.0046 2.26 31 10 "median" 0.0209 0.0104
2014-07-25 "GAS" "Na2O" 0.0282 0.02303 0.0218 0.0209 0.0209 "g/100g" 0.000185 2.6e-05 2.604e-05 0.0046 0.0046 2.26 24 10 "median" 0.0209 0.0104
